HV106_01,HV001,HV021,HV024,HV025,HV022,HV005,HV234,SH224,HV270
Superior,1,1,Amazonas,Urbano,3,103273,30 PPM,Coloracion morado oscuro (valor,Medio
"Sin educación, preescolar",1,1,Amazonas,Urbano,3,103273,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Secundario,1,1,Amazonas,Urbano,3,103273,30 PPM,Coloracion morado oscuro (valor,Rico
Secundario,1,1,Amazonas,Urbano,3,532968,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,1,1,Amazonas,Urbano,3,103273,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,1,1,Amazonas,Urbano,3,532968,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,1,1,Amazonas,Urbano,3,103273,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,2,2,Amazonas,Urbano,1,451281,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,2,2,Amazonas,Urbano,1,87445,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,2,2,Amazonas,Urbano,1,451281,No se realizó la prueba,No se pudo realizar la prueba,Rico
Superior,2,2,Amazonas,Urbano,1,451281,No se realizó la prueba,No se pudo realizar la prueba,Rico
Primario,2,2,Amazonas,Urbano,1,87445,No se realizó la prueba,No se pudo realizar la prueba,Rico
Primario,2,2,Amazonas,Urbano,1,87445,No se realizó la prueba,No se pudo realizar la prueba,Rico
Superior,2,2,Amazonas,Urbano,1,87445,No se realizó la prueba,No se pudo realizar la prueba,Más rico
Superior,2,2,Amazonas,Urbano,1,87445,No se realizó la prueba,No se pudo realizar la prueba,Rico
Secundario,3,3,Amazonas,Urbano,4,141696,No se realizó la prueba,No se pudo realizar la prueba,Medio
Superior,3,3,Amazonas,Urbano,4,731258,No se realizó la prueba,No se pudo realizar la prueba,Medio
Superior,3,3,Amazonas,Urbano,4,141696,No se realizó la prueba,No se pudo realizar la prueba,Rico
Secundario,3,3,Amazonas,Urbano,4,141696,No se realizó la prueba,No se pudo realizar la prueba,Medio
Primario,3,3,Amazonas,Urbano,4,731258,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,3,3,Amazonas,Urbano,4,141696,No se realizó la prueba,No se pudo realizar la prueba,Medio
Superior,3,3,Amazonas,Urbano,4,141696,No se realizó la prueba,No se pudo realizar la prueba,Rico
Superior,4,4,Amazonas,Urbano,2,126749,30 PPM,Coloracion morado oscuro (valor,Rico
Secundario,4,4,Amazonas,Urbano,2,654119,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,4,4,Amazonas,Urbano,2,126749,0 PPM (sin yodo),Sin coloracion (valor,Rico
Superior,4,4,Amazonas,Urbano,2,654119,30 PPM,Coloracion morado oscuro (valor,Más rico
Secundario,4,4,Amazonas,Urbano,2,126749,15 PPM,Coloracion azul o morado (valor,Pobre
Primario,4,4,Amazonas,Urbano,2,654119,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,4,4,Amazonas,Urbano,2,126749,30 PPM,Coloracion morado oscuro (valor,Rico
Secundario,5,5,Amazonas,Urbano,2,117533,No se realizó la prueba,No se pudo realizar la prueba,Rico
Secundario,5,5,Amazonas,Urbano,2,117533,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,5,5,Amazonas,Urbano,2,606562,No se realizó la prueba,No se pudo realizar la prueba,Más rico
Secundario,5,5,Amazonas,Urbano,2,117533,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,5,5,Amazonas,Urbano,2,117533,30 PPM,Coloracion morado oscuro (valor,Más rico
Superior,5,5,Amazonas,Urbano,2,606562,No hay sal en el hogar,No hay sal en el hogar,Medio
Superior,5,5,Amazonas,Urbano,2,606562,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,5,5,Amazonas,Urbano,2,117533,No se realizó la prueba,No se pudo realizar la prueba,Más rico
Secundario,5,5,Amazonas,Urbano,2,117533,30 PPM,Coloracion morado oscuro (valor,Rico
Superior,5,5,Amazonas,Urbano,2,606562,15 PPM,Coloracion azul o morado (valor,Rico
Superior,6,6,Amazonas,Urbano,2,751663,7 PPM,Coloracion tenue (valor,Pobre
Superior,6,6,Amazonas,Urbano,2,751663,No hay sal en el hogar,No hay sal en el hogar,Medio
Superior,6,6,Amazonas,Urbano,2,145650,No se realizó la prueba,No se pudo realizar la prueba,Rico
Secundario,6,6,Amazonas,Urbano,2,145650,0 PPM (sin yodo),Sin coloracion (valor,Medio
Secundario,6,6,Amazonas,Urbano,2,751663,No hay sal en el hogar,No hay sal en el hogar,Los más pobres
Superior,6,6,Amazonas,Urbano,2,145650,30 PPM,Coloracion morado oscuro (valor,Rico
Superior,6,6,Amazonas,Urbano,2,751663,15 PPM,Coloracion azul o morado (valor,Medio
Superior,6,6,Amazonas,Urbano,2,145650,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,6,6,Amazonas,Urbano,2,145650,30 PPM,Coloracion morado oscuro (valor,Rico
Secundario,7,7,Amazonas,Urbano,4,136837,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Primario,7,7,Amazonas,Urbano,4,706183,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Primario,7,7,Amazonas,Urbano,4,136837,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,7,7,Amazonas,Urbano,4,136837,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,7,7,Amazonas,Urbano,4,136837,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,7,7,Amazonas,Urbano,4,136837,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Primario,7,7,Amazonas,Urbano,4,136837,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,7,7,Amazonas,Urbano,4,706183,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,7,7,Amazonas,Urbano,4,706183,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,7,7,Amazonas,Urbano,4,706183,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,8,8,Amazonas,Urbano,9,816591,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Primario,8,8,Amazonas,Urbano,9,816591,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Primario,8,8,Amazonas,Urbano,9,134039,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Superior,8,8,Amazonas,Urbano,9,816591,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,8,8,Amazonas,Urbano,9,134039,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Superior,8,8,Amazonas,Urbano,9,816591,No hay sal en el hogar,No hay sal en el hogar,Pobre
Superior,8,8,Amazonas,Urbano,9,134039,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,8,8,Amazonas,Urbano,9,816591,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Secundario,8,8,Amazonas,Urbano,9,134039,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Primario,8,8,Amazonas,Urbano,9,816591,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Primario,9,9,Amazonas,Urbano,9,119048,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,9,9,Amazonas,Urbano,9,119048,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,9,9,Amazonas,Urbano,9,725264,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,9,9,Amazonas,Urbano,9,119048,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,9,9,Amazonas,Urbano,9,725264,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,9,9,Amazonas,Urbano,9,119048,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,9,9,Amazonas,Urbano,9,119048,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,9,9,Amazonas,Urbano,9,119048,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,9,9,Amazonas,Urbano,9,725264,30 PPM,Coloracion morado oscuro (valor,Medio
Primario,9,9,Amazonas,Urbano,9,725264,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,10,10,Amazonas,Urbano,8,764759,No hay sal en el hogar,No hay sal en el hogar,Pobre
Secundario,10,10,Amazonas,Urbano,8,764759,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Primario,10,10,Amazonas,Urbano,8,764759,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,10,10,Amazonas,Urbano,8,125531,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,10,10,Amazonas,Urbano,8,764759,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Superior,10,10,Amazonas,Urbano,8,125531,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,10,10,Amazonas,Urbano,8,125531,15 PPM,Coloracion azul o morado (valor,Pobre
Primario,10,10,Amazonas,Urbano,8,764759,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,10,10,Amazonas,Urbano,8,125531,30 PPM,Coloracion morado oscuro (valor,Medio
Secundario,10,10,Amazonas,Urbano,8,764759,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,11,11,Amazonas,Urbano,8,123922,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,11,11,Amazonas,Urbano,8,754954,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,11,11,Amazonas,Urbano,8,123922,No se realizó la prueba,No se pudo realizar la prueba,Medio
